name,group,ok,r_bar,coverage,n_r,n_dr,r_min,r_max,r_sd,r_p25,r_p75,dr_min,dr_max,dr_sd,dr_p25,dr_p75,err
roundabout_PCG_61,PCG,1,11.239950557010006,1.0,142,142,10.71090447619573,11.734450021115846,0.2645128781740132,11.03558792568701,11.421663118786187,-0.08997308226901524,0.05418869636227619,0.03266298215674911,-0.012245659443419044,0.018335450767038797,
roundabout_PCG_610,PCG,1,11.173417248472601,1.0,141,141,10.480760568201301,12.032064734414865,0.411035000226865,10.848395941900339,11.432954470344415,-0.10039604103373456,0.06830117327102414,0.04680262866588251,-0.030458819571645535,0.03908580426111108,
roundabout_PCG_611,PCG,1,11.25764734497263,1.0,143,143,9.94355842010332,12.21185028903894,0.6338971500817092,10.789180421993505,11.801142639517511,-0.13007229583010904,0.13662208348817373,0.06447743375844342,-0.047496675946922196,0.04055420146795008,
roundabout_PCG_612,PCG,1,11.092639167222588,1.0,140,140,10.42266240109555,11.698265679709959,0.36008162999062243,10.813310270425664,11.404496483496692,-0.06780504187002201,0.10681742215220069,0.04181537789237368,-0.030832910684932102,0.03482049357283046,
roundabout_PCG_613,PCG,1,11.11588775136043,1.0,140,140,10.632852045102512,11.732155198548288,0.34675793890393947,10.774704528927423,11.400641603733467,-0.0966056553454564,0.061804268091384174,0.03739815223084959,-0.01876374673135084,0.030797839266182958,
roundabout_PCG_614,PCG,1,10.97744939041043,1.0,139,139,10.37653895164093,11.773261751387118,0.3316189738918846,10.707778967581678,11.193355358383123,-0.09161667444155697,0.10412726278020124,0.04207839812758878,-0.01849573098062507,0.024697110446356696,
roundabout_PCG_615,PCG,1,11.146043418633042,1.0,141,141,10.131402208729765,11.97137348031138,0.5061940935463168,10.751947957623704,11.51635779317941,-0.1141143842678467,0.11109736510431922,0.05448286213614917,-0.025957662831817885,0.028883841479361294,
roundabout_PCG_616,PCG,1,10.967633819874745,1.0,139,139,9.950061653510085,11.819540354561914,0.46946119609576287,10.657901306176491,11.274004508723245,-0.10707264539713712,0.11439263160323421,0.057760337265979435,-0.03926778006610654,0.04554617108192982,
roundabout_PCG_617,PCG,1,11.184663048149607,1.0,142,142,10.205006231012206,11.987719802658813,0.4303837088989974,10.86732145543212,11.515638238867933,-0.12366715121605232,0.12091172156970664,0.06142354740628497,-0.033734474718889906,0.046698127584291704,
roundabout_PCG_618,PCG,1,11.237631004375125,1.0,142,142,10.587132339775273,11.971215588259717,0.3328937181895686,11.015344406251561,11.455130786267203,-0.08823958924551611,0.09549117138390528,0.0422665959523783,-0.02956952006663416,0.026497395908140486,
roundabout_PCG_619,PCG,1,11.048221038770114,1.0,140,140,10.1849420742987,11.8149838923077,0.4220163221719306,10.768223337396716,11.340390013072989,-0.11616201630215528,0.10729486673048072,0.05605590436825596,-0.03923524432612924,0.03941394283938848,
roundabout_PCG_62,PCG,1,11.248934916953786,1.0,143,143,10.021552378398688,12.435576154604528,0.6958227933103841,10.700418956112593,11.86341183348012,-0.13194469644234452,0.1160195820268175,0.06986311412925095,-0.05267322067911451,0.056163714554066324,
roundabout_PCG_620,PCG,1,11.244126788186536,1.0,142,142,10.499325058377313,12.061803300520756,0.48774298273519817,10.779237119221012,11.676567386971161,-0.09164703126416107,0.07117705779810102,0.050191216788286974,-0.04381835043165605,0.03891617540777448,
roundabout_PCG_621,PCG,1,11.101097219819545,1.0,141,141,10.191050099435213,12.16145961820259,0.532741542873733,10.650667433642955,11.54389249352468,-0.11834304449355137,0.09700209432988416,0.05738203941540213,-0.04751181142826333,0.04069641532902857,
roundabout_PCG_622,PCG,1,10.795731103001392,1.0,137,137,10.130644143380703,11.347185308043274,0.34999671984730435,10.49928690513119,11.088834555442219,-0.08616906886013886,0.10565646941332574,0.04886639385723892,-0.0386517406976683,0.03274307250727837,
roundabout_PCG_623,PCG,1,11.08586317102005,1.0,140,140,10.08889294803634,11.610458664059218,0.3576647425759718,10.931045571299462,11.334998671906149,-0.15763157227127778,0.12064174954497098,0.05174743240264507,-0.018065929047266227,0.026307178416647314,
roundabout_PCG_624,PCG,1,11.084558981053258,1.0,140,140,10.62581562771842,11.717413896307209,0.28290043958364114,10.86684107508744,11.260309962320488,-0.05102378484127179,0.11657725396431573,0.037900050474038514,-0.029550228171789428,0.018036419850935292,
roundabout_PCG_625,PCG,1,11.467572305560305,0.9138888888888889,137,136,9.959370498558192,12.85790835757201,0.8520214418231092,10.792557975356507,12.200320324929336,-0.4999719200060291,0.12329991019778674,0.09793329411117956,-0.06967483458908941,0.07341125059042763,
roundabout_PCG_626,PCG,1,11.037071364220608,1.0,140,140,10.042388586255846,11.675869025975404,0.37069516293905946,10.869886937357402,11.312050776059646,-0.10837072967976624,0.12147507975141991,0.045400157292461274,-0.01998155614093111,0.023309410916008133,
roundabout_PCG_627,PCG,1,11.447752511958749,1.0,145,145,10.932461991922697,11.911381646469147,0.25510496863561727,11.244201985248276,11.633988875794227,-0.06860546667316925,0.0870672363986067,0.03802051940783505,-0.024005798671122847,0.0238212374947544,
roundabout_PCG_628,PCG,1,11.27932600029579,0.9138888888888889,135,134,9.568559687996425,12.73534434158105,0.9205531364226672,10.55793368635278,12.126335340810744,-0.49998262739979893,0.1437849438844907,0.10678066683272822,-0.08270324989680233,0.07903583795364844,
